id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,duration_sec,rating_diff,rating_avg,rating_avg_norm
4926,False,50,mate,black,19+30,arfhan,1265,lasttry,1500,d4 d5 Nc3 Nf6 Nf3 e6 e4 dxe4 Ne5 c5 Bg5 cxd4 Nxe4 Qd5 Bxf6 Qxe4+ Be2 gxf6 Nf3 Bb4+ Nd2 Qxg2 Bb5+ Bd7 a3 Bxb5 axb4 Qxh1+ Nf1 Qxf1+ Kd2 Qxf2+ Kc1 Rg8 Qd2 Rg1+ Qd1 Qe3+ Kb1 Rxd1+ Ka2 Bc4+ b3 Rxa1+ Kxa1 Qc1+ Ka2 Qxc2+ Ka3 Qxb3#,D01,Queen's Pawn Game: Chigorin Variation,4,916.012999936,235,1382.5,0.3539712320200125
16218,False,30,mate,black,19+30,lasttry,1500,arfhan,1265,e4 e5 Nf3 Nf6 Nc3 Nc6 d4 d5 dxe5 dxe4 exf6 exf3 Qxf3 Qxf6 Qe3+ Be7 Bb5 Bd7 O-O Nb4 Bxd7+ Kxd7 Rd1+ Bd6 Nd5 Nxd5 Rxd5 Rae8 Qxa7 Re1#,C47,Four Knights Game: Scotch Variation,7,885.793999872,235,1382.5,0.3539712320200125
8791,False,50,mate,black,19+30,arfhan,1265,lasttry,1500,e3 e5 Nf3 Nc6 h4 Nf6 Bc4 d5 Bd3 e4 Bb5 exf3 gxf3 Bd7 c3 a6 Bxc6 Bxc6 Rg1 Nh5 Qe2 Bd6 e4 O-O exd5 Re8 Qxe8+ Qxe8+ Kd1 Bxd5 d4 Bxf3+ Kc2 Qe2+ Nd2 Be4+ Kb3 Bd5+ c4 Bc6 c5 Qb5+ Kc2 Bf4 Nb3 Qc4+ Kd1 Bf3+ Ke1 Qe2#,A00,Van't Kruijs Opening,1,811.024,235,1382.5,0.3539712320200125
15338,True,10,outoftime,black,8+0,spitfire999,1099,alin86,1574,e4 d5 c3 dxe4 a4 Nf6 h4 Bg4 Qb3 b6,B01,Scandinavian Defense,2,510.205000192,475,1336.5,0.3252032520325203
13794,True,21,mate,white,8+4,olivia77,1459,spitfire999,1143,e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qf3 Ke7 Qxf7+ Kd6 Nc4+ Kc6 Ne5+ Kd6 Nc4+ Kc5 Qf5+ Kd4 c3+ Nxc3 dxc3#,C42,Russian Game: Damiano Variation,6,200.444999936,316,1301.0,0.3030018761726079
11354,True,20,mate,black,8+4,spitfire999,1175,olivia77,1455,a4 a6 c4 Nc6 b3 e6 h4 Qf6 Nc3 Bb4 Bb2 Ne5 e4 h5 g3 Ng4 f3 Bc5 fxg4 Qf2#,A00,Ware Opening,1,160.798000128,280,1315.0,0.3117573483427142
10033,True,43,mate,white,8+8,vladimir_shindin,1466,spitfire999,1500,d4 b5 e4 d5 e5 h5 Bxb5+ c6 Ba4 Bd7 Nc3 f5 Bg5 Rh6 h4 g6 Bxh6 Nxh6 Qd3 e6 Qg3 Na6 Qxg6+ Ke7 Qxh5 Nb4 Bb3 Nd3+ cxd3 Bg7 Nf3 a5 Na4 Rb8 Nc5 Rb5 Ng5 Rb4 O-O Rxd4 g3 Ng8 Qf7#,A40,Polish Defense,2,635.638999808,34,1483.0,0.41682301438399
11143,True,29,resign,white,5+8,bakaliechrom,1773,aran09,1366,e4 e5 d4 Bd6 dxe5 Bxe5 Nf3 Bd6 Nc3 Nf6 e5 Bc5 exf6 Qxf6 Qe2+ Be7 Bg5 Qd6 Rd1 Qe6 Bxe7 Qxe7 Nd5 Qxe2+ Bxe2 O-O Nxc7 Nc6 Nxa8,C21,Center Game #2,3,451.896,407,1569.5,0.4709193245778612
4748,True,34,mate,black,12+0,aran09,1385,jonhe,1246,d4 Nc6 d5 Nb4 e4 c6 Qd3 Nxd3+ Bxd3 cxd5 exd5 g6 h4 Bg7 Rh3 Nf6 Re3 Nxd5 Rxe7+ Nxe7 Nd2 O-O g4 Re8 Kd1 Qc7 c4 Nc6 c5 Nb4 c6 Qxc6 Ba6 Qc2#,A40,Mikenas Defense,2,604.838000128,139,1315.5,0.31207004377736086
14863,True,40,mate,black,12+20,balage77,1300,aran09,1374,e4 e5 Qf3 Nc6 c3 Nf6 Bc4 d6 g4 Bxg4 Qg3 Qd7 f3 Be6 Ne2 Nh5 Qh4 g6 b3 Be7 Qf2 Bxc4 bxc4 Qh3 Qg1 Bh4+ Kd1 Qxf3 Qf1 Bf2 d4 exd4 Nd2 Qe3 Rb1 dxc3 Nb3 Qd3+ Nd2 c2#,C20,King's Pawn Game: Napoleon Attack,3,1359.195000064,74,1337.0,0.325515947467167
